Year,Sea level change
1880,"-183.2473958				"
1881,"-174.0140625				"
1882,"-190.0807292				"
1883,"-185.1473958				"
1884,"-166.2807292				"
1885,-167.6807292
1886,"-164.2140625				"
1887,"-170.2140625				"
1888,"-172.6140625				"
1889,"-169.7140625				"
1890,"-166.9807292				"
1891,"-167.7140625				"
1892,"-167.5807292				"
1893,"-162.9807292				"
1894,"-176.8807292				"
1895,"-163.1473958				"
1896,"-160.3140625				"
1897,"-152.1473958				"
1898,"-157.1140625				"
1899,"-151.6807292				"
1900,"-152.0473958				"
1901,"-156.5473958				"
1902,"-153.7140625				"
1903,"-138.3473958				"
1904,"-152.2473958				"
1905,"-154.4140625				"
1906,"-146.8473958				"
1907,"-147.3807292								"
1908,-149.6140625
1909,"-152.7807292				"
1910,"-146.3140625				"
1911,"-141.3807292				"
1912,"-142.6473958				"
1913,"-140.3140625				"
1914,"-143.6140625				"
1915,"-135.9473958				"
1916,"-134.7807292				"
1917,"-134.4807292				"
1918,"-135.7140625				"
1919,"-128.4807292				"
1920,"-127.1807292				"
1921,"-129.5473958				"
1922,"-133.6473958				"
1923,"-129.5473958				"
1924,"-138.9807292				"
1925,"-138.4473958				"
1926,"-126.2807292				"
1927,"-127.7473958				"
1928,"-128.8807292				"
1929,"-129.0807292				"
1930,"-122.9140625				"
1931,"-126.7473958				"
1932,"-125.1473958				"
1933,"-119.9807292				"
1934,"-127.3473958				"
1935,"-118.1473958				"
1936,"-124.8140625				"
1937,"-119.8807292				"
1938,"-121.5473958				"
1939,"-101.4807292				"
1940,"-121.6807292				"
1941,"-100.7473958				"
1942,"-101.4473958				"
1943,"-104.0140625				"
1944,"-116.9473958								"
1945,"-104.4473958				"
1946,"-92.68072917				"
1947,"-97.44739583				"
1948,"-91.8140625				"
1949,"-95.4140625				"
1950,"-91.44739583				"
1951,"-82.3140625				"
1952,"-84.48072917				"
1953,"-75.34739583				"
1954,"-86.7140625				"
1955,"-87.44739583				"
1956,"-86.58072917				"
1957,"-69.54739583				"
1958,"-72.9140625				"
1959,"-70.2140625				"
1960,"-66.88072917				"
1961,"-60.74739583				"
1962,"-68.04739583				"
1963,"-69.9140625				"
1964,"-70.98072917				"
1965,"-66.3140625				"
1966,"-70.48072917				"
1967,"-66.44739583				"
1968,"-72.8140625				"
1969,"-62.6140625				"
1970,"-64.74739583			"
1971,"-60.48072917			"
1972,"-43.7140625				"
1973,"-56.74739583				"
1974,"-43.18072917				"
1975,"-45.84739583				"
1976,"-44.74739583				"
1977,"-48.5140625				"
1978,"-41.8140625				"
1979,"-46.8140625				"
1980,"-41.88072917				"
1981,"-25.98072917				"
1982,"-37.88072917				"
1983,"-22.28072917				"
1984,"-21.7140625				"
1985,"-36.98072917				"
1986,"-35.18072917				"
1987,"-33.24739583				"
1988,"-28.84739583				"
1989,"-25.14739583				"
1990,"-22.84739583				"
1991,"-22.8140625			"
1992,"-20.24739583				"
1993,"-22.78072917				"
1994,"-17.98072917				"
1995,"-15.58072917				"
1996,"-11.94739583				"
1997,"-2.647395833				"
1998,"-10.8140625				"
1999,"-0.247395833				"
2000,"2.952604167				"
2001,"4.719270833				"
2002,"2.152604167				"
2003,"14.61927083				"
2004,"13.65260417				"
2005,"12.11927083				"
2006,"9.519270833				"
2007,"22.7859375				"
2008,"30.45260417				"
2009,"33.65260417			"
2010,"33.87824005			"
2011,"36.71847075			"
2012,"47.17390325						"
2013,"41.33798668			"
2014,"53.85737212			"
2015,"50.46170567			"
2016,"54.34696367			"
2017,"57.35599133			"
2018,"53.08512198			"
2019,"61.39371322			"
2020,66.70432506
2021,63.29
2022,"69.66			"
